setting ^dummy=dummy
setting ^_ignored=[]
W0611 11:06:13.008424 139971477354304 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 11:06:17.737084 139971477354304 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = -1.0000 | steps = 414 | total_regret = 72.0000 | total_return = -26.0000
I0611 11:06:17.737084 139971477354304 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = -1.0000 | steps = 414 | total_regret = 72.0000 | total_return = -26.0000
I0611 11:06:17.794090 139971477354304 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = 1.0000 | steps = 423 | total_regret = 72.0000 | total_return = -25.0000
I0611 11:06:17.794090 139971477354304 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = 1.0000 | steps = 423 | total_regret = 72.0000 | total_return = -25.0000
I0611 11:06:17.857972 139971477354304 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = 1.0000 | steps = 432 | total_regret = 72.0000 | total_return = -24.0000
I0611 11:06:17.857972 139971477354304 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = 1.0000 | steps = 432 | total_regret = 72.0000 | total_return = -24.0000
I0611 11:06:17.959084 139971477354304 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = -1.0000 | steps = 441 | total_regret = 74.0000 | total_return = -25.0000
I0611 11:06:17.959084 139971477354304 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = -1.0000 | steps = 441 | total_regret = 74.0000 | total_return = -25.0000
I0611 11:06:18.034497 139971477354304 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = 1.0000 | steps = 450 | total_regret = 74.0000 | total_return = -24.0000
I0611 11:06:18.034497 139971477354304 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = 1.0000 | steps = 450 | total_regret = 74.0000 | total_return = -24.0000
I0611 11:06:18.128978 139971477354304 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = 1.0000 | steps = 459 | total_regret = 74.0000 | total_return = -23.0000
I0611 11:06:18.128978 139971477354304 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = 1.0000 | steps = 459 | total_regret = 74.0000 | total_return = -23.0000
I0611 11:06:18.193183 139971477354304 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = 1.0000 | steps = 468 | total_regret = 74.0000 | total_return = -22.0000
I0611 11:06:18.193183 139971477354304 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = 1.0000 | steps = 468 | total_regret = 74.0000 | total_return = -22.0000
I0611 11:06:18.253518 139971477354304 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = 1.0000 | steps = 477 | total_regret = 74.0000 | total_return = -21.0000
I0611 11:06:18.253518 139971477354304 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = 1.0000 | steps = 477 | total_regret = 74.0000 | total_return = -21.0000
I0611 11:06:18.314811 139971477354304 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = 1.0000 | steps = 486 | total_regret = 74.0000 | total_return = -20.0000
I0611 11:06:18.314811 139971477354304 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = 1.0000 | steps = 486 | total_regret = 74.0000 | total_return = -20.0000
I0611 11:06:18.393497 139971477354304 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = 1.0000 | steps = 495 | total_regret = 74.0000 | total_return = -19.0000
I0611 11:06:18.393497 139971477354304 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = 1.0000 | steps = 495 | total_regret = 74.0000 | total_return = -19.0000
I0611 11:06:18.478916 139971477354304 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = 1.0000 | steps = 504 | total_regret = 74.0000 | total_return = -18.0000
I0611 11:06:18.478916 139971477354304 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = 1.0000 | steps = 504 | total_regret = 74.0000 | total_return = -18.0000
I0611 11:06:18.546498 139971477354304 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 74.0000 | total_return = -17.0000
I0611 11:06:18.546498 139971477354304 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 74.0000 | total_return = -17.0000
I0611 11:06:18.619677 139971477354304 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = 1.0000 | steps = 522 | total_regret = 74.0000 | total_return = -16.0000
I0611 11:06:18.619677 139971477354304 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = 1.0000 | steps = 522 | total_regret = 74.0000 | total_return = -16.0000
I0611 11:06:18.730121 139971477354304 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = 1.0000 | steps = 531 | total_regret = 74.0000 | total_return = -15.0000
I0611 11:06:18.730121 139971477354304 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = 1.0000 | steps = 531 | total_regret = 74.0000 | total_return = -15.0000
I0611 11:06:18.792646 139971477354304 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = -1.0000 | steps = 540 | total_regret = 76.0000 | total_return = -16.0000
I0611 11:06:18.792646 139971477354304 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = -1.0000 | steps = 540 | total_regret = 76.0000 | total_return = -16.0000
I0611 11:06:18.845421 139971477354304 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = 1.0000 | steps = 549 | total_regret = 76.0000 | total_return = -15.0000
I0611 11:06:18.845421 139971477354304 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = 1.0000 | steps = 549 | total_regret = 76.0000 | total_return = -15.0000
I0611 11:06:18.893130 139971477354304 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = 1.0000 | steps = 558 | total_regret = 76.0000 | total_return = -14.0000
I0611 11:06:18.893130 139971477354304 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = 1.0000 | steps = 558 | total_regret = 76.0000 | total_return = -14.0000
I0611 11:06:18.940059 139971477354304 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 78.0000 | total_return = -15.0000
I0611 11:06:18.940059 139971477354304 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 78.0000 | total_return = -15.0000
I0611 11:06:18.987485 139971477354304 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = -1.0000 | steps = 576 | total_regret = 80.0000 | total_return = -16.0000
I0611 11:06:18.987485 139971477354304 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = -1.0000 | steps = 576 | total_regret = 80.0000 | total_return = -16.0000
I0611 11:06:19.078027 139971477354304 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = 1.0000 | steps = 585 | total_regret = 80.0000 | total_return = -15.0000
I0611 11:06:19.078027 139971477354304 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = 1.0000 | steps = 585 | total_regret = 80.0000 | total_return = -15.0000
I0611 11:06:19.123263 139971477354304 terminal_logging.py:55] episode = 66 | episode_len = 9 | episode_return = 1.0000 | steps = 594 | total_regret = 80.0000 | total_return = -14.0000
I0611 11:06:19.123263 139971477354304 terminal_logging.py:55] episode = 66 | episode_len = 9 | episode_return = 1.0000 | steps = 594 | total_regret = 80.0000 | total_return = -14.0000
I0611 11:06:19.182685 139971477354304 terminal_logging.py:55] episode = 67 | episode_len = 9 | episode_return = 1.0000 | steps = 603 | total_regret = 80.0000 | total_return = -13.0000
I0611 11:06:19.182685 139971477354304 terminal_logging.py:55] episode = 67 | episode_len = 9 | episode_return = 1.0000 | steps = 603 | total_regret = 80.0000 | total_return = -13.0000
I0611 11:06:19.270697 139971477354304 terminal_logging.py:55] episode = 68 | episode_len = 9 | episode_return = -1.0000 | steps = 612 | total_regret = 82.0000 | total_return = -14.0000
I0611 11:06:19.270697 139971477354304 terminal_logging.py:55] episode = 68 | episode_len = 9 | episode_return = -1.0000 | steps = 612 | total_regret = 82.0000 | total_return = -14.0000
I0611 11:06:19.330554 139971477354304 terminal_logging.py:55] episode = 69 | episode_len = 9 | episode_return = -1.0000 | steps = 621 | total_regret = 84.0000 | total_return = -15.0000
I0611 11:06:19.330554 139971477354304 terminal_logging.py:55] episode = 69 | episode_len = 9 | episode_return = -1.0000 | steps = 621 | total_regret = 84.0000 | total_return = -15.0000
I0611 11:06:19.392127 139971477354304 terminal_logging.py:55] episode = 70 | episode_len = 9 | episode_return = 1.0000 | steps = 630 | total_regret = 84.0000 | total_return = -14.0000
I0611 11:06:19.392127 139971477354304 terminal_logging.py:55] episode = 70 | episode_len = 9 | episode_return = 1.0000 | steps = 630 | total_regret = 84.0000 | total_return = -14.0000
I0611 11:06:19.459982 139971477354304 terminal_logging.py:55] episode = 71 | episode_len = 9 | episode_return = 1.0000 | steps = 639 | total_regret = 84.0000 | total_return = -13.0000
I0611 11:06:19.459982 139971477354304 terminal_logging.py:55] episode = 71 | episode_len = 9 | episode_return = 1.0000 | steps = 639 | total_regret = 84.0000 | total_return = -13.0000
I0611 11:06:19.523134 139971477354304 terminal_logging.py:55] episode = 72 | episode_len = 9 | episode_return = 1.0000 | steps = 648 | total_regret = 84.0000 | total_return = -12.0000
I0611 11:06:19.523134 139971477354304 terminal_logging.py:55] episode = 72 | episode_len = 9 | episode_return = 1.0000 | steps = 648 | total_regret = 84.0000 | total_return = -12.0000
I0611 11:06:19.584116 139971477354304 terminal_logging.py:55] episode = 73 | episode_len = 9 | episode_return = 1.0000 | steps = 657 | total_regret = 84.0000 | total_return = -11.0000
I0611 11:06:19.584116 139971477354304 terminal_logging.py:55] episode = 73 | episode_len = 9 | episode_return = 1.0000 | steps = 657 | total_regret = 84.0000 | total_return = -11.0000
I0611 11:06:19.647260 139971477354304 terminal_logging.py:55] episode = 74 | episode_len = 9 | episode_return = 1.0000 | steps = 666 | total_regret = 84.0000 | total_return = -10.0000
I0611 11:06:19.647260 139971477354304 terminal_logging.py:55] episode = 74 | episode_len = 9 | episode_return = 1.0000 | steps = 666 | total_regret = 84.0000 | total_return = -10.0000
I0611 11:06:19.712599 139971477354304 terminal_logging.py:55] episode = 75 | episode_len = 9 | episode_return = 1.0000 | steps = 675 | total_regret = 84.0000 | total_return = -9.0000
I0611 11:06:19.712599 139971477354304 terminal_logging.py:55] episode = 75 | episode_len = 9 | episode_return = 1.0000 | steps = 675 | total_regret = 84.0000 | total_return = -9.0000
I0611 11:06:19.802564 139971477354304 terminal_logging.py:55] episode = 76 | episode_len = 9 | episode_return = 1.0000 | steps = 684 | total_regret = 84.0000 | total_return = -8.0000
I0611 11:06:19.802564 139971477354304 terminal_logging.py:55] episode = 76 | episode_len = 9 | episode_return = 1.0000 | steps = 684 | total_regret = 84.0000 | total_return = -8.0000
I0611 11:06:19.860022 139971477354304 terminal_logging.py:55] episode = 77 | episode_len = 9 | episode_return = 1.0000 | steps = 693 | total_regret = 84.0000 | total_return = -7.0000
I0611 11:06:19.860022 139971477354304 terminal_logging.py:55] episode = 77 | episode_len = 9 | episode_return = 1.0000 | steps = 693 | total_regret = 84.0000 | total_return = -7.0000
I0611 11:06:19.919058 139971477354304 terminal_logging.py:55] episode = 78 | episode_len = 9 | episode_return = 1.0000 | steps = 702 | total_regret = 84.0000 | total_return = -6.0000
I0611 11:06:19.919058 139971477354304 terminal_logging.py:55] episode = 78 | episode_len = 9 | episode_return = 1.0000 | steps = 702 | total_regret = 84.0000 | total_return = -6.0000
