setting ^dummy=dummy
setting ^_ignored=[]
W0611 11:10:46.920104 140718620706624 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 11:10:50.409337 140718620706624 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 18.0000 | total_return = -6.0000
I0611 11:10:50.409337 140718620706624 terminal_logging.py:55] episode = 12 | episode_len = 9 | episode_return = -1.0000 | steps = 108 | total_regret = 18.0000 | total_return = -6.0000
I0611 11:10:50.465423 140718620706624 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 20.0000 | total_return = -7.0000
I0611 11:10:50.465423 140718620706624 terminal_logging.py:55] episode = 13 | episode_len = 9 | episode_return = -1.0000 | steps = 117 | total_regret = 20.0000 | total_return = -7.0000
I0611 11:10:50.518346 140718620706624 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 22.0000 | total_return = -8.0000
I0611 11:10:50.518346 140718620706624 terminal_logging.py:55] episode = 14 | episode_len = 9 | episode_return = -1.0000 | steps = 126 | total_regret = 22.0000 | total_return = -8.0000
I0611 11:10:50.572946 140718620706624 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = -1.0000 | steps = 135 | total_regret = 24.0000 | total_return = -9.0000
I0611 11:10:50.572946 140718620706624 terminal_logging.py:55] episode = 15 | episode_len = 9 | episode_return = -1.0000 | steps = 135 | total_regret = 24.0000 | total_return = -9.0000
I0611 11:10:50.638227 140718620706624 terminal_logging.py:55] episode = 16 | episode_len = 9 | episode_return = -1.0000 | steps = 144 | total_regret = 26.0000 | total_return = -10.0000
I0611 11:10:50.638227 140718620706624 terminal_logging.py:55] episode = 16 | episode_len = 9 | episode_return = -1.0000 | steps = 144 | total_regret = 26.0000 | total_return = -10.0000
I0611 11:10:50.719898 140718620706624 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = -1.0000 | steps = 153 | total_regret = 28.0000 | total_return = -11.0000
I0611 11:10:50.719898 140718620706624 terminal_logging.py:55] episode = 17 | episode_len = 9 | episode_return = -1.0000 | steps = 153 | total_regret = 28.0000 | total_return = -11.0000
I0611 11:10:50.792576 140718620706624 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 30.0000 | total_return = -12.0000
I0611 11:10:50.792576 140718620706624 terminal_logging.py:55] episode = 18 | episode_len = 9 | episode_return = -1.0000 | steps = 162 | total_regret = 30.0000 | total_return = -12.0000
I0611 11:10:50.854251 140718620706624 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 32.0000 | total_return = -13.0000
I0611 11:10:50.854251 140718620706624 terminal_logging.py:55] episode = 19 | episode_len = 9 | episode_return = -1.0000 | steps = 171 | total_regret = 32.0000 | total_return = -13.0000
I0611 11:10:50.978377 140718620706624 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = 1.0000 | steps = 180 | total_regret = 32.0000 | total_return = -12.0000
I0611 11:10:50.978377 140718620706624 terminal_logging.py:55] episode = 20 | episode_len = 9 | episode_return = 1.0000 | steps = 180 | total_regret = 32.0000 | total_return = -12.0000
I0611 11:10:51.055290 140718620706624 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 34.0000 | total_return = -13.0000
I0611 11:10:51.055290 140718620706624 terminal_logging.py:55] episode = 21 | episode_len = 9 | episode_return = -1.0000 | steps = 189 | total_regret = 34.0000 | total_return = -13.0000
I0611 11:10:51.119067 140718620706624 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 36.0000 | total_return = -14.0000
I0611 11:10:51.119067 140718620706624 terminal_logging.py:55] episode = 22 | episode_len = 9 | episode_return = -1.0000 | steps = 198 | total_regret = 36.0000 | total_return = -14.0000
I0611 11:10:51.172967 140718620706624 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 38.0000 | total_return = -15.0000
I0611 11:10:51.172967 140718620706624 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 38.0000 | total_return = -15.0000
I0611 11:10:51.232127 140718620706624 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 40.0000 | total_return = -16.0000
I0611 11:10:51.232127 140718620706624 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 40.0000 | total_return = -16.0000
I0611 11:10:51.299972 140718620706624 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = 1.0000 | steps = 225 | total_regret = 40.0000 | total_return = -15.0000
I0611 11:10:51.299972 140718620706624 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = 1.0000 | steps = 225 | total_regret = 40.0000 | total_return = -15.0000
I0611 11:10:51.371420 140718620706624 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 42.0000 | total_return = -16.0000
I0611 11:10:51.371420 140718620706624 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 42.0000 | total_return = -16.0000
I0611 11:10:51.430920 140718620706624 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 44.0000 | total_return = -17.0000
I0611 11:10:51.430920 140718620706624 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 44.0000 | total_return = -17.0000
I0611 11:10:51.539281 140718620706624 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = 1.0000 | steps = 252 | total_regret = 44.0000 | total_return = -16.0000
I0611 11:10:51.539281 140718620706624 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = 1.0000 | steps = 252 | total_regret = 44.0000 | total_return = -16.0000
I0611 11:10:51.624531 140718620706624 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = 1.0000 | steps = 261 | total_regret = 44.0000 | total_return = -15.0000
I0611 11:10:51.624531 140718620706624 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = 1.0000 | steps = 261 | total_regret = 44.0000 | total_return = -15.0000
I0611 11:10:51.707901 140718620706624 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = 1.0000 | steps = 270 | total_regret = 44.0000 | total_return = -14.0000
I0611 11:10:51.707901 140718620706624 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = 1.0000 | steps = 270 | total_regret = 44.0000 | total_return = -14.0000
I0611 11:10:51.776954 140718620706624 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = -1.0000 | steps = 279 | total_regret = 46.0000 | total_return = -15.0000
I0611 11:10:51.776954 140718620706624 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = -1.0000 | steps = 279 | total_regret = 46.0000 | total_return = -15.0000
I0611 11:10:51.852306 140718620706624 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = -1.0000 | steps = 288 | total_regret = 48.0000 | total_return = -16.0000
I0611 11:10:51.852306 140718620706624 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = -1.0000 | steps = 288 | total_regret = 48.0000 | total_return = -16.0000
I0611 11:10:51.902653 140718620706624 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = 1.0000 | steps = 297 | total_regret = 48.0000 | total_return = -15.0000
I0611 11:10:51.902653 140718620706624 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = 1.0000 | steps = 297 | total_regret = 48.0000 | total_return = -15.0000
I0611 11:10:51.960265 140718620706624 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 50.0000 | total_return = -16.0000
I0611 11:10:51.960265 140718620706624 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 50.0000 | total_return = -16.0000
I0611 11:10:52.018560 140718620706624 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = 1.0000 | steps = 315 | total_regret = 50.0000 | total_return = -15.0000
I0611 11:10:52.018560 140718620706624 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = 1.0000 | steps = 315 | total_regret = 50.0000 | total_return = -15.0000
I0611 11:10:52.120099 140718620706624 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 52.0000 | total_return = -16.0000
I0611 11:10:52.120099 140718620706624 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 52.0000 | total_return = -16.0000
I0611 11:10:52.190269 140718620706624 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 54.0000 | total_return = -17.0000
I0611 11:10:52.190269 140718620706624 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 54.0000 | total_return = -17.0000
I0611 11:10:52.263477 140718620706624 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = -1.0000 | steps = 342 | total_regret = 56.0000 | total_return = -18.0000
I0611 11:10:52.263477 140718620706624 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = -1.0000 | steps = 342 | total_regret = 56.0000 | total_return = -18.0000
I0611 11:10:52.333373 140718620706624 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = -1.0000 | steps = 351 | total_regret = 58.0000 | total_return = -19.0000
I0611 11:10:52.333373 140718620706624 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = -1.0000 | steps = 351 | total_regret = 58.0000 | total_return = -19.0000
I0611 11:10:52.396286 140718620706624 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = -1.0000 | steps = 360 | total_regret = 60.0000 | total_return = -20.0000
I0611 11:10:52.396286 140718620706624 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = -1.0000 | steps = 360 | total_regret = 60.0000 | total_return = -20.0000
I0611 11:10:52.465116 140718620706624 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = -1.0000 | steps = 369 | total_regret = 62.0000 | total_return = -21.0000
I0611 11:10:52.465116 140718620706624 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = -1.0000 | steps = 369 | total_regret = 62.0000 | total_return = -21.0000
I0611 11:10:52.526484 140718620706624 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = -1.0000 | steps = 378 | total_regret = 64.0000 | total_return = -22.0000
I0611 11:10:52.526484 140718620706624 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = -1.0000 | steps = 378 | total_regret = 64.0000 | total_return = -22.0000
I0611 11:10:52.628932 140718620706624 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = -1.0000 | steps = 387 | total_regret = 66.0000 | total_return = -23.0000
I0611 11:10:52.628932 140718620706624 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = -1.0000 | steps = 387 | total_regret = 66.0000 | total_return = -23.0000
I0611 11:10:52.681612 140718620706624 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = -1.0000 | steps = 396 | total_regret = 68.0000 | total_return = -24.0000
I0611 11:10:52.681612 140718620706624 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = -1.0000 | steps = 396 | total_regret = 68.0000 | total_return = -24.0000
I0611 11:10:52.754712 140718620706624 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = -1.0000 | steps = 405 | total_regret = 70.0000 | total_return = -25.0000
I0611 11:10:52.754712 140718620706624 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = -1.0000 | steps = 405 | total_regret = 70.0000 | total_return = -25.0000
I0611 11:10:52.808780 140718620706624 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = -1.0000 | steps = 414 | total_regret = 72.0000 | total_return = -26.0000
I0611 11:10:52.808780 140718620706624 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = -1.0000 | steps = 414 | total_regret = 72.0000 | total_return = -26.0000
I0611 11:10:52.851459 140718620706624 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = -1.0000 | steps = 423 | total_regret = 74.0000 | total_return = -27.0000
I0611 11:10:52.851459 140718620706624 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = -1.0000 | steps = 423 | total_regret = 74.0000 | total_return = -27.0000
I0611 11:10:52.886352 140718620706624 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = -1.0000 | steps = 432 | total_regret = 76.0000 | total_return = -28.0000
I0611 11:10:52.886352 140718620706624 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = -1.0000 | steps = 432 | total_regret = 76.0000 | total_return = -28.0000
I0611 11:10:52.920198 140718620706624 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = 1.0000 | steps = 441 | total_regret = 76.0000 | total_return = -27.0000
I0611 11:10:52.920198 140718620706624 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = 1.0000 | steps = 441 | total_regret = 76.0000 | total_return = -27.0000
I0611 11:10:52.987274 140718620706624 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = 1.0000 | steps = 450 | total_regret = 76.0000 | total_return = -26.0000
I0611 11:10:52.987274 140718620706624 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = 1.0000 | steps = 450 | total_regret = 76.0000 | total_return = -26.0000
I0611 11:10:53.026847 140718620706624 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = -1.0000 | steps = 459 | total_regret = 78.0000 | total_return = -27.0000
I0611 11:10:53.026847 140718620706624 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = -1.0000 | steps = 459 | total_regret = 78.0000 | total_return = -27.0000
I0611 11:10:53.060971 140718620706624 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = 1.0000 | steps = 468 | total_regret = 78.0000 | total_return = -26.0000
I0611 11:10:53.060971 140718620706624 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = 1.0000 | steps = 468 | total_regret = 78.0000 | total_return = -26.0000
I0611 11:10:53.096400 140718620706624 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = -1.0000 | steps = 477 | total_regret = 80.0000 | total_return = -27.0000
I0611 11:10:53.096400 140718620706624 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = -1.0000 | steps = 477 | total_regret = 80.0000 | total_return = -27.0000
I0611 11:10:53.147157 140718620706624 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = -1.0000 | steps = 486 | total_regret = 82.0000 | total_return = -28.0000
I0611 11:10:53.147157 140718620706624 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = -1.0000 | steps = 486 | total_regret = 82.0000 | total_return = -28.0000
I0611 11:10:53.182384 140718620706624 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = -1.0000 | steps = 495 | total_regret = 84.0000 | total_return = -29.0000
I0611 11:10:53.182384 140718620706624 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = -1.0000 | steps = 495 | total_regret = 84.0000 | total_return = -29.0000
I0611 11:10:53.216231 140718620706624 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = -1.0000 | steps = 504 | total_regret = 86.0000 | total_return = -30.0000
I0611 11:10:53.216231 140718620706624 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = -1.0000 | steps = 504 | total_regret = 86.0000 | total_return = -30.0000
I0611 11:10:53.250572 140718620706624 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 86.0000 | total_return = -29.0000
I0611 11:10:53.250572 140718620706624 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 86.0000 | total_return = -29.0000
I0611 11:10:53.292686 140718620706624 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = 1.0000 | steps = 522 | total_regret = 86.0000 | total_return = -28.0000
I0611 11:10:53.292686 140718620706624 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = 1.0000 | steps = 522 | total_regret = 86.0000 | total_return = -28.0000
I0611 11:10:53.328438 140718620706624 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = 1.0000 | steps = 531 | total_regret = 86.0000 | total_return = -27.0000
