setting ^dummy=dummy
setting ^_ignored=[]
W0611 11:12:04.104435 140331324749632 xla_bridge.py:143] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 11:12:07.495595 140331324749632 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 34.0000 | total_return = -11.0000
I0611 11:12:07.495595 140331324749632 terminal_logging.py:55] episode = 23 | episode_len = 9 | episode_return = -1.0000 | steps = 207 | total_regret = 34.0000 | total_return = -11.0000
I0611 11:12:07.530950 140331324749632 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 36.0000 | total_return = -12.0000
I0611 11:12:07.530950 140331324749632 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = -1.0000 | steps = 216 | total_regret = 36.0000 | total_return = -12.0000
I0611 11:12:07.566022 140331324749632 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = 1.0000 | steps = 225 | total_regret = 36.0000 | total_return = -11.0000
I0611 11:12:07.566022 140331324749632 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = 1.0000 | steps = 225 | total_regret = 36.0000 | total_return = -11.0000
I0611 11:12:07.626201 140331324749632 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 38.0000 | total_return = -12.0000
I0611 11:12:07.626201 140331324749632 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 38.0000 | total_return = -12.0000
I0611 11:12:07.661625 140331324749632 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 40.0000 | total_return = -13.0000
I0611 11:12:07.661625 140331324749632 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = -1.0000 | steps = 243 | total_regret = 40.0000 | total_return = -13.0000
I0611 11:12:07.698958 140331324749632 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = -1.0000 | steps = 252 | total_regret = 42.0000 | total_return = -14.0000
I0611 11:12:07.698958 140331324749632 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = -1.0000 | steps = 252 | total_regret = 42.0000 | total_return = -14.0000
I0611 11:12:07.737333 140331324749632 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = -1.0000 | steps = 261 | total_regret = 44.0000 | total_return = -15.0000
I0611 11:12:07.737333 140331324749632 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = -1.0000 | steps = 261 | total_regret = 44.0000 | total_return = -15.0000
I0611 11:12:07.773715 140331324749632 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = 1.0000 | steps = 270 | total_regret = 44.0000 | total_return = -14.0000
I0611 11:12:07.773715 140331324749632 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = 1.0000 | steps = 270 | total_regret = 44.0000 | total_return = -14.0000
I0611 11:12:07.887685 140331324749632 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = 1.0000 | steps = 279 | total_regret = 44.0000 | total_return = -13.0000
I0611 11:12:07.887685 140331324749632 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = 1.0000 | steps = 279 | total_regret = 44.0000 | total_return = -13.0000
I0611 11:12:07.957127 140331324749632 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = 1.0000 | steps = 288 | total_regret = 44.0000 | total_return = -12.0000
I0611 11:12:07.957127 140331324749632 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = 1.0000 | steps = 288 | total_regret = 44.0000 | total_return = -12.0000
I0611 11:12:08.014550 140331324749632 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = -1.0000 | steps = 297 | total_regret = 46.0000 | total_return = -13.0000
I0611 11:12:08.014550 140331324749632 terminal_logging.py:55] episode = 33 | episode_len = 9 | episode_return = -1.0000 | steps = 297 | total_regret = 46.0000 | total_return = -13.0000
I0611 11:12:08.059382 140331324749632 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 48.0000 | total_return = -14.0000
I0611 11:12:08.059382 140331324749632 terminal_logging.py:55] episode = 34 | episode_len = 9 | episode_return = -1.0000 | steps = 306 | total_regret = 48.0000 | total_return = -14.0000
I0611 11:12:08.134988 140331324749632 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = 1.0000 | steps = 315 | total_regret = 48.0000 | total_return = -13.0000
I0611 11:12:08.134988 140331324749632 terminal_logging.py:55] episode = 35 | episode_len = 9 | episode_return = 1.0000 | steps = 315 | total_regret = 48.0000 | total_return = -13.0000
I0611 11:12:08.172364 140331324749632 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 50.0000 | total_return = -14.0000
I0611 11:12:08.172364 140331324749632 terminal_logging.py:55] episode = 36 | episode_len = 9 | episode_return = -1.0000 | steps = 324 | total_regret = 50.0000 | total_return = -14.0000
I0611 11:12:08.206904 140331324749632 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 52.0000 | total_return = -15.0000
I0611 11:12:08.206904 140331324749632 terminal_logging.py:55] episode = 37 | episode_len = 9 | episode_return = -1.0000 | steps = 333 | total_regret = 52.0000 | total_return = -15.0000
I0611 11:12:08.242266 140331324749632 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = 1.0000 | steps = 342 | total_regret = 52.0000 | total_return = -14.0000
I0611 11:12:08.242266 140331324749632 terminal_logging.py:55] episode = 38 | episode_len = 9 | episode_return = 1.0000 | steps = 342 | total_regret = 52.0000 | total_return = -14.0000
I0611 11:12:08.276801 140331324749632 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = 1.0000 | steps = 351 | total_regret = 52.0000 | total_return = -13.0000
I0611 11:12:08.276801 140331324749632 terminal_logging.py:55] episode = 39 | episode_len = 9 | episode_return = 1.0000 | steps = 351 | total_regret = 52.0000 | total_return = -13.0000
I0611 11:12:08.315381 140331324749632 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = 1.0000 | steps = 360 | total_regret = 52.0000 | total_return = -12.0000
I0611 11:12:08.315381 140331324749632 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = 1.0000 | steps = 360 | total_regret = 52.0000 | total_return = -12.0000
I0611 11:12:08.355782 140331324749632 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = 1.0000 | steps = 369 | total_regret = 52.0000 | total_return = -11.0000
I0611 11:12:08.355782 140331324749632 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = 1.0000 | steps = 369 | total_regret = 52.0000 | total_return = -11.0000
I0611 11:12:08.392632 140331324749632 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = -1.0000 | steps = 378 | total_regret = 54.0000 | total_return = -12.0000
I0611 11:12:08.392632 140331324749632 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = -1.0000 | steps = 378 | total_regret = 54.0000 | total_return = -12.0000
I0611 11:12:08.430885 140331324749632 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = -1.0000 | steps = 387 | total_regret = 56.0000 | total_return = -13.0000
I0611 11:12:08.430885 140331324749632 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = -1.0000 | steps = 387 | total_regret = 56.0000 | total_return = -13.0000
I0611 11:12:08.465371 140331324749632 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = 1.0000 | steps = 396 | total_regret = 56.0000 | total_return = -12.0000
I0611 11:12:08.465371 140331324749632 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = 1.0000 | steps = 396 | total_regret = 56.0000 | total_return = -12.0000
I0611 11:12:08.501205 140331324749632 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = 1.0000 | steps = 405 | total_regret = 56.0000 | total_return = -11.0000
I0611 11:12:08.501205 140331324749632 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = 1.0000 | steps = 405 | total_regret = 56.0000 | total_return = -11.0000
I0611 11:12:08.538323 140331324749632 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = 1.0000 | steps = 414 | total_regret = 56.0000 | total_return = -10.0000
I0611 11:12:08.538323 140331324749632 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = 1.0000 | steps = 414 | total_regret = 56.0000 | total_return = -10.0000
I0611 11:12:08.574949 140331324749632 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = 1.0000 | steps = 423 | total_regret = 56.0000 | total_return = -9.0000
I0611 11:12:08.574949 140331324749632 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = 1.0000 | steps = 423 | total_regret = 56.0000 | total_return = -9.0000
I0611 11:12:08.611817 140331324749632 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = 1.0000 | steps = 432 | total_regret = 56.0000 | total_return = -8.0000
I0611 11:12:08.611817 140331324749632 terminal_logging.py:55] episode = 48 | episode_len = 9 | episode_return = 1.0000 | steps = 432 | total_regret = 56.0000 | total_return = -8.0000
I0611 11:12:08.742339 140331324749632 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = -1.0000 | steps = 441 | total_regret = 58.0000 | total_return = -9.0000
I0611 11:12:08.742339 140331324749632 terminal_logging.py:55] episode = 49 | episode_len = 9 | episode_return = -1.0000 | steps = 441 | total_regret = 58.0000 | total_return = -9.0000
I0611 11:12:08.808448 140331324749632 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = 1.0000 | steps = 450 | total_regret = 58.0000 | total_return = -8.0000
I0611 11:12:08.808448 140331324749632 terminal_logging.py:55] episode = 50 | episode_len = 9 | episode_return = 1.0000 | steps = 450 | total_regret = 58.0000 | total_return = -8.0000
I0611 11:12:08.850880 140331324749632 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = -1.0000 | steps = 459 | total_regret = 60.0000 | total_return = -9.0000
I0611 11:12:08.850880 140331324749632 terminal_logging.py:55] episode = 51 | episode_len = 9 | episode_return = -1.0000 | steps = 459 | total_regret = 60.0000 | total_return = -9.0000
I0611 11:12:08.883669 140331324749632 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = 1.0000 | steps = 468 | total_regret = 60.0000 | total_return = -8.0000
I0611 11:12:08.883669 140331324749632 terminal_logging.py:55] episode = 52 | episode_len = 9 | episode_return = 1.0000 | steps = 468 | total_regret = 60.0000 | total_return = -8.0000
I0611 11:12:08.920582 140331324749632 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = 1.0000 | steps = 477 | total_regret = 60.0000 | total_return = -7.0000
I0611 11:12:08.920582 140331324749632 terminal_logging.py:55] episode = 53 | episode_len = 9 | episode_return = 1.0000 | steps = 477 | total_regret = 60.0000 | total_return = -7.0000
I0611 11:12:08.955503 140331324749632 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = 1.0000 | steps = 486 | total_regret = 60.0000 | total_return = -6.0000
I0611 11:12:08.955503 140331324749632 terminal_logging.py:55] episode = 54 | episode_len = 9 | episode_return = 1.0000 | steps = 486 | total_regret = 60.0000 | total_return = -6.0000
I0611 11:12:08.995311 140331324749632 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = -1.0000 | steps = 495 | total_regret = 62.0000 | total_return = -7.0000
I0611 11:12:08.995311 140331324749632 terminal_logging.py:55] episode = 55 | episode_len = 9 | episode_return = -1.0000 | steps = 495 | total_regret = 62.0000 | total_return = -7.0000
I0611 11:12:09.036100 140331324749632 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = -1.0000 | steps = 504 | total_regret = 64.0000 | total_return = -8.0000
I0611 11:12:09.036100 140331324749632 terminal_logging.py:55] episode = 56 | episode_len = 9 | episode_return = -1.0000 | steps = 504 | total_regret = 64.0000 | total_return = -8.0000
I0611 11:12:09.072266 140331324749632 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 64.0000 | total_return = -7.0000
I0611 11:12:09.072266 140331324749632 terminal_logging.py:55] episode = 57 | episode_len = 9 | episode_return = 1.0000 | steps = 513 | total_regret = 64.0000 | total_return = -7.0000
I0611 11:12:09.109677 140331324749632 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = 1.0000 | steps = 522 | total_regret = 64.0000 | total_return = -6.0000
I0611 11:12:09.109677 140331324749632 terminal_logging.py:55] episode = 58 | episode_len = 9 | episode_return = 1.0000 | steps = 522 | total_regret = 64.0000 | total_return = -6.0000
I0611 11:12:09.143364 140331324749632 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = -1.0000 | steps = 531 | total_regret = 66.0000 | total_return = -7.0000
I0611 11:12:09.143364 140331324749632 terminal_logging.py:55] episode = 59 | episode_len = 9 | episode_return = -1.0000 | steps = 531 | total_regret = 66.0000 | total_return = -7.0000
I0611 11:12:09.179815 140331324749632 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = 1.0000 | steps = 540 | total_regret = 66.0000 | total_return = -6.0000
I0611 11:12:09.179815 140331324749632 terminal_logging.py:55] episode = 60 | episode_len = 9 | episode_return = 1.0000 | steps = 540 | total_regret = 66.0000 | total_return = -6.0000
I0611 11:12:09.217706 140331324749632 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = 1.0000 | steps = 549 | total_regret = 66.0000 | total_return = -5.0000
I0611 11:12:09.217706 140331324749632 terminal_logging.py:55] episode = 61 | episode_len = 9 | episode_return = 1.0000 | steps = 549 | total_regret = 66.0000 | total_return = -5.0000
I0611 11:12:09.253483 140331324749632 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = 1.0000 | steps = 558 | total_regret = 66.0000 | total_return = -4.0000
I0611 11:12:09.253483 140331324749632 terminal_logging.py:55] episode = 62 | episode_len = 9 | episode_return = 1.0000 | steps = 558 | total_regret = 66.0000 | total_return = -4.0000
I0611 11:12:09.310428 140331324749632 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 68.0000 | total_return = -5.0000
I0611 11:12:09.310428 140331324749632 terminal_logging.py:55] episode = 63 | episode_len = 9 | episode_return = -1.0000 | steps = 567 | total_regret = 68.0000 | total_return = -5.0000
I0611 11:12:09.345678 140331324749632 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = 1.0000 | steps = 576 | total_regret = 68.0000 | total_return = -4.0000
I0611 11:12:09.345678 140331324749632 terminal_logging.py:55] episode = 64 | episode_len = 9 | episode_return = 1.0000 | steps = 576 | total_regret = 68.0000 | total_return = -4.0000
I0611 11:12:09.381833 140331324749632 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = 1.0000 | steps = 585 | total_regret = 68.0000 | total_return = -3.0000
I0611 11:12:09.381833 140331324749632 terminal_logging.py:55] episode = 65 | episode_len = 9 | episode_return = 1.0000 | steps = 585 | total_regret = 68.0000 | total_return = -3.0000
I0611 11:12:09.419172 140331324749632 terminal_logging.py:55] episode = 66 | episode_len = 9 | episode_return = -1.0000 | steps = 594 | total_regret = 70.0000 | total_return = -4.0000
I0611 11:12:09.419172 140331324749632 terminal_logging.py:55] episode = 66 | episode_len = 9 | episode_return = -1.0000 | steps = 594 | total_regret = 70.0000 | total_return = -4.0000
I0611 11:12:09.455070 140331324749632 terminal_logging.py:55] episode = 67 | episode_len = 9 | episode_return = 1.0000 | steps = 603 | total_regret = 70.0000 | total_return = -3.0000
I0611 11:12:09.455070 140331324749632 terminal_logging.py:55] episode = 67 | episode_len = 9 | episode_return = 1.0000 | steps = 603 | total_regret = 70.0000 | total_return = -3.0000
I0611 11:12:09.491400 140331324749632 terminal_logging.py:55] episode = 68 | episode_len = 9 | episode_return = -1.0000 | steps = 612 | total_regret = 72.0000 | total_return = -4.0000
I0611 11:12:09.491400 140331324749632 terminal_logging.py:55] episode = 68 | episode_len = 9 | episode_return = -1.0000 | steps = 612 | total_regret = 72.0000 | total_return = -4.0000
I0611 11:12:09.527228 140331324749632 terminal_logging.py:55] episode = 69 | episode_len = 9 | episode_return = 1.0000 | steps = 621 | total_regret = 72.0000 | total_return = -3.0000
I0611 11:12:09.527228 140331324749632 terminal_logging.py:55] episode = 69 | episode_len = 9 | episode_return = 1.0000 | steps = 621 | total_regret = 72.0000 | total_return = -3.0000
I0611 11:12:09.563201 140331324749632 terminal_logging.py:55] episode = 70 | episode_len = 9 | episode_return = -1.0000 | steps = 630 | total_regret = 74.0000 | total_return = -4.0000
I0611 11:12:09.563201 140331324749632 terminal_logging.py:55] episode = 70 | episode_len = 9 | episode_return = -1.0000 | steps = 630 | total_regret = 74.0000 | total_return = -4.0000
I0611 11:12:09.601882 140331324749632 terminal_logging.py:55] episode = 71 | episode_len = 9 | episode_return = 1.0000 | steps = 639 | total_regret = 74.0000 | total_return = -3.0000
I0611 11:12:09.601882 140331324749632 terminal_logging.py:55] episode = 71 | episode_len = 9 | episode_return = 1.0000 | steps = 639 | total_regret = 74.0000 | total_return = -3.0000
I0611 11:12:09.637376 140331324749632 terminal_logging.py:55] episode = 72 | episode_len = 9 | episode_return = -1.0000 | steps = 648 | total_regret = 76.0000 | total_return = -4.0000
I0611 11:12:09.637376 140331324749632 terminal_logging.py:55] episode = 72 | episode_len = 9 | episode_return = -1.0000 | steps = 648 | total_regret = 76.0000 | total_return = -4.0000
I0611 11:12:09.674063 140331324749632 terminal_logging.py:55] episode = 73 | episode_len = 9 | episode_return = 1.0000 | steps = 657 | total_regret = 76.0000 | total_return = -3.0000
I0611 11:12:09.674063 140331324749632 terminal_logging.py:55] episode = 73 | episode_len = 9 | episode_return = 1.0000 | steps = 657 | total_regret = 76.0000 | total_return = -3.0000
I0611 11:12:09.709998 140331324749632 terminal_logging.py:55] episode = 74 | episode_len = 9 | episode_return = 1.0000 | steps = 666 | total_regret = 76.0000 | total_return = -2.0000
I0611 11:12:09.709998 140331324749632 terminal_logging.py:55] episode = 74 | episode_len = 9 | episode_return = 1.0000 | steps = 666 | total_regret = 76.0000 | total_return = -2.0000
I0611 11:12:09.745880 140331324749632 terminal_logging.py:55] episode = 75 | episode_len = 9 | episode_return = -1.0000 | steps = 675 | total_regret = 78.0000 | total_return = -3.0000
I0611 11:12:09.745880 140331324749632 terminal_logging.py:55] episode = 75 | episode_len = 9 | episode_return = -1.0000 | steps = 675 | total_regret = 78.0000 | total_return = -3.0000
I0611 11:12:09.781699 140331324749632 terminal_logging.py:55] episode = 76 | episode_len = 9 | episode_return = -1.0000 | steps = 684 | total_regret = 80.0000 | total_return = -4.0000
I0611 11:12:09.781699 140331324749632 terminal_logging.py:55] episode = 76 | episode_len = 9 | episode_return = -1.0000 | steps = 684 | total_regret = 80.0000 | total_return = -4.0000
I0611 11:12:09.841673 140331324749632 terminal_logging.py:55] episode = 77 | episode_len = 9 | episode_return = 1.0000 | steps = 693 | total_regret = 80.0000 | total_return = -3.0000
I0611 11:12:09.841673 140331324749632 terminal_logging.py:55] episode = 77 | episode_len = 9 | episode_return = 1.0000 | steps = 693 | total_regret = 80.0000 | total_return = -3.0000
I0611 11:12:09.877146 140331324749632 terminal_logging.py:55] episode = 78 | episode_len = 9 | episode_return = 1.0000 | steps = 702 | total_regret = 80.0000 | total_return = -2.0000
