setting ^bsuite_id=catch/1
setting ^save_path=/tmp/bsuite
setting ^logging_mode=buddy
setting ^overwrite=True
setting ^num_episodes=None
setting ^verbose=True
setting ^_ignored=[]
INFO:absl:Starting the local TPU driver.
INFO:absl:Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
INFO:absl:Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Host Interpreter
INFO:absl:Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
WARNING:absl:No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 19:59:32.089169 140306405291840 terminal_logging.py:55] episode = 40 | episode_len = 9 | episode_return = -1.0000 | steps = 360 | total_regret = 70.0000 | total_return = -30.0000
INFO:absl:episode = 41 | episode_len = 9 | episode_return = -1.0000 | steps = 369 | total_regret = 72.0000 | total_return = -31.0000
I0611 19:59:32.137161 140306405291840 terminal_logging.py:55] episode = 41 | episode_len = 9 | episode_return = -1.0000 | steps = 369 | total_regret = 72.0000 | total_return = -31.0000
INFO:absl:episode = 42 | episode_len = 9 | episode_return = -1.0000 | steps = 378 | total_regret = 74.0000 | total_return = -32.0000
I0611 19:59:32.177296 140306405291840 terminal_logging.py:55] episode = 42 | episode_len = 9 | episode_return = -1.0000 | steps = 378 | total_regret = 74.0000 | total_return = -32.0000
INFO:absl:episode = 43 | episode_len = 9 | episode_return = -1.0000 | steps = 387 | total_regret = 76.0000 | total_return = -33.0000
I0611 19:59:32.292275 140306405291840 terminal_logging.py:55] episode = 43 | episode_len = 9 | episode_return = -1.0000 | steps = 387 | total_regret = 76.0000 | total_return = -33.0000
INFO:absl:episode = 44 | episode_len = 9 | episode_return = 1.0000 | steps = 396 | total_regret = 76.0000 | total_return = -32.0000
I0611 19:59:32.389550 140306405291840 terminal_logging.py:55] episode = 44 | episode_len = 9 | episode_return = 1.0000 | steps = 396 | total_regret = 76.0000 | total_return = -32.0000
INFO:absl:episode = 45 | episode_len = 9 | episode_return = 1.0000 | steps = 405 | total_regret = 76.0000 | total_return = -31.0000
I0611 19:59:32.465381 140306405291840 terminal_logging.py:55] episode = 45 | episode_len = 9 | episode_return = 1.0000 | steps = 405 | total_regret = 76.0000 | total_return = -31.0000
INFO:absl:episode = 46 | episode_len = 9 | episode_return = -1.0000 | steps = 414 | total_regret = 78.0000 | total_return = -32.0000
I0611 19:59:32.528621 140306405291840 terminal_logging.py:55] episode = 46 | episode_len = 9 | episode_return = -1.0000 | steps = 414 | total_regret = 78.0000 | total_return = -32.0000
INFO:absl:episode = 47 | episode_len = 9 | episode_return = 1.0000 | steps = 423 | total_regret = 78.0000 | total_return = -31.0000
I0611 19:59:32.648149 140306405291840 terminal_logging.py:55] episode = 47 | episode_len = 9 | episode_return = 1.0000 | steps = 423 | total_regret = 78.0000 | total_return = -31.0000
