setting ^expname=bsuite_id_-_catch-0
setting ^_ignored=[]
I0611 21:11:01.683044 140370663819072 tpu_client.py:54] Starting the local TPU driver.
I0611 21:11:01.744291 140370663819072 xla_bridge.py:212] Unable to initialize backend 'tpu_driver': Not found: Unable to find driver in registry given worker: local://
I0611 21:11:01.745687 140370663819072 xla_bridge.py:212] Unable to initialize backend 'gpu': Not found: Could not find registered platform with name: "cuda". Available platform names are: Interpreter Host
I0611 21:11:01.746984 140370663819072 xla_bridge.py:212] Unable to initialize backend 'tpu': Invalid argument: TpuPlatform is not available.
W0611 21:11:01.747113 140370663819072 xla_bridge.py:215] No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
I0611 21:11:04.882913 140370663819072 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = 1.0000 | steps = 216 | total_regret = 32.0000 | total_return = -8.0000
I0611 21:11:04.882913 140370663819072 terminal_logging.py:55] episode = 24 | episode_len = 9 | episode_return = 1.0000 | steps = 216 | total_regret = 32.0000 | total_return = -8.0000
I0611 21:11:04.910035 140370663819072 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = -1.0000 | steps = 225 | total_regret = 34.0000 | total_return = -9.0000
I0611 21:11:04.910035 140370663819072 terminal_logging.py:55] episode = 25 | episode_len = 9 | episode_return = -1.0000 | steps = 225 | total_regret = 34.0000 | total_return = -9.0000
I0611 21:11:04.939385 140370663819072 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 36.0000 | total_return = -10.0000
I0611 21:11:04.939385 140370663819072 terminal_logging.py:55] episode = 26 | episode_len = 9 | episode_return = -1.0000 | steps = 234 | total_regret = 36.0000 | total_return = -10.0000
I0611 21:11:04.966607 140370663819072 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = 1.0000 | steps = 243 | total_regret = 36.0000 | total_return = -9.0000
I0611 21:11:04.966607 140370663819072 terminal_logging.py:55] episode = 27 | episode_len = 9 | episode_return = 1.0000 | steps = 243 | total_regret = 36.0000 | total_return = -9.0000
I0611 21:11:05.003378 140370663819072 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = 1.0000 | steps = 252 | total_regret = 36.0000 | total_return = -8.0000
I0611 21:11:05.003378 140370663819072 terminal_logging.py:55] episode = 28 | episode_len = 9 | episode_return = 1.0000 | steps = 252 | total_regret = 36.0000 | total_return = -8.0000
I0611 21:11:05.048799 140370663819072 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = 1.0000 | steps = 261 | total_regret = 36.0000 | total_return = -7.0000
I0611 21:11:05.048799 140370663819072 terminal_logging.py:55] episode = 29 | episode_len = 9 | episode_return = 1.0000 | steps = 261 | total_regret = 36.0000 | total_return = -7.0000
I0611 21:11:05.087132 140370663819072 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = -1.0000 | steps = 270 | total_regret = 38.0000 | total_return = -8.0000
I0611 21:11:05.087132 140370663819072 terminal_logging.py:55] episode = 30 | episode_len = 9 | episode_return = -1.0000 | steps = 270 | total_regret = 38.0000 | total_return = -8.0000
I0611 21:11:05.157594 140370663819072 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = 1.0000 | steps = 279 | total_regret = 38.0000 | total_return = -7.0000
I0611 21:11:05.157594 140370663819072 terminal_logging.py:55] episode = 31 | episode_len = 9 | episode_return = 1.0000 | steps = 279 | total_regret = 38.0000 | total_return = -7.0000
I0611 21:11:05.241399 140370663819072 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = -1.0000 | steps = 288 | total_regret = 40.0000 | total_return = -8.0000
I0611 21:11:05.241399 140370663819072 terminal_logging.py:55] episode = 32 | episode_len = 9 | episode_return = -1.0000 | steps = 288 | total_regret = 40.0000 | total_return = -8.0000
